match_id,match_date,competition,competition_stage,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,num_bets_home,num_bets_draw,num_bets_away,odds_source,bookmaker,snapshot_type,source_match_url,official_result_url
2025-11-17_northern_ireland_luxembourg,2025-11-17,FIFA World Cup qualification,Qualifiers,Northern Ireland,Luxembourg,1.0,0.0,1.88,3.1,4.79,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-17_northern_ireland_luxembourg,2025-11-17,FIFA World Cup qualification,Qualifiers,Northern Ireland,Luxembourg,1.0,0.0,1.91,3.25,5.33,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_albania_england,2025-11-16,FIFA World Cup qualification,Qualifiers,Albania,England,0.0,2.0,10.76,4.99,1.3,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_albania_england,2025-11-16,FIFA World Cup qualification,Qualifiers,Albania,England,0.0,2.0,12.0,5.4,1.34,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_azerbaijan_france,2025-11-16,FIFA World Cup qualification,Qualifiers,Azerbaijan,France,1.0,3.0,20.94,8.39,1.12,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_azerbaijan_france,2025-11-16,FIFA World Cup qualification,Qualifiers,Azerbaijan,France,1.0,3.0,26.0,9.0,1.14,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_hungary_republic_of_ireland,2025-11-16,FIFA World Cup qualification,Qualifiers,Hungary,Republic of Ireland,2.0,3.0,2.02,3.21,3.84,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_hungary_republic_of_ireland,2025-11-16,FIFA World Cup qualification,Qualifiers,Hungary,Republic of Ireland,2.0,3.0,2.05,3.4,4.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_moldova_israel,2025-11-16,FIFA World Cup qualification,Qualifiers,Moldova,Israel,1.0,4.0,7.72,4.75,1.38,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_moldova_israel,2025-11-16,FIFA World Cup qualification,Qualifiers,Moldova,Israel,1.0,4.0,9.5,5.0,1.41,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
