date,home_team,away_team,country,neutral,home_confederation,away_confederation,host_confederation,is_home_country,is_away_country,is_home_confed,is_away_confed
1984-03-16,Kuwait,Qatar,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-17,Algeria,Egypt,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-17,Iraq,Saudi Arabia,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-18,Bahrain,United Arab Emirates,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-18,Cameroon,Nigeria,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-03-18,Oman,Qatar,Oman,False,AFC,AFC,AFC,True,False,True,True
1984-03-18,Panama,Cuba,Panama,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1984-03-20,Bahrain,Iraq,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-20,Saudi Arabia,Kuwait,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-21,Oman,United Arab Emirates,Oman,False,AFC,AFC,AFC,True,False,True,True
1984-03-22,Iraq,Kuwait,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-22,Bahrain,Qatar,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-23,Djibouti,Ethiopia,Djibouti,False,CAF,CAF,CAF,True,False,True,True
1984-03-23,Saudi Arabia,United Arab Emirates,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-24,Panama,Costa Rica,Panama,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1984-03-25,Iraq,Qatar,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-25,Oman,Kuwait,Oman,False,AFC,AFC,AFC,True,False,True,True
1984-03-26,Bahrain,Saudi Arabia,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-27,Switzerland,Poland,Switzerland,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-28,Haiti,Canada,Haiti,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1984-03-28,Germany,Russia,Germany,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-28,Iraq,Qatar,Oman,True,AFC,AFC,AFC,False,False,True,True
1984-03-28,France,Austria,France,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-28,German DR,Czechoslovakia,German DR,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-31,Yugoslavia,Hungary,Yugoslavia,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-31,Alderney,Guernsey,Alderney,False,UEFA,UEFA,UEFA,True,False,True,True
1984-03-31,New Zealand,Malaysia,New Zealand,False,OFC,AFC,OFC,True,False,True,False
1984-04-02,Kuwait,Bulgaria,Kuwait,False,AFC,UEFA,AFC,True,False,True,False
1984-04-03,New Zealand,Malaysia,New Zealand,False,OFC,AFC,OFC,True,False,True,False
1984-04-04,England,Northern Ireland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-04,Israel,Republic of Ireland,Israel,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-04,Turkey,Hungary,Turkey,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-07,Italy,Czechoslovakia,Italy,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-08,New Zealand,Malaysia,New Zealand,False,OFC,AFC,OFC,True,False,True,False
1984-04-11,Greece,Cyprus,Greece,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-11,Romania,Israel,Romania,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-11,Spain,Denmark,Spain,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-12,Kenya,China,Kenya,False,CAF,AFC,CAF,True,False,True,False
1984-04-17,Poland,Belgium,Poland,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-18,Austria,Greece,Austria,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-18,France,Germany,France,False,UEFA,UEFA,UEFA,True,False,True,True
1984-04-27,Panama,Nicaragua,Panama,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
